ID,Population
163_3B1,Bramston_Beach
164_3C1,Bramston_Beach
169_3D1,Bramston_Beach
173_3E1,Bramston_Beach
174_3A1,Bramston_Beach
175_3F1,Bramston_Beach
176_3B1,Bramston_Beach
177_3G1,Bramston_Beach
178_3C1,Bramston_Beach
179_3H1,Bramston_Beach
180_3A1,Bramston_Beach
181_3B1,Bramston_Beach
182_3C1,Bramston_Beach
183_3D1,Bramston_Beach
184_3D1,Bramston_Beach
185_3E1,Bramston_Beach
186_3F1,Bramston_Beach
188_3G1,Bramston_Beach
190_3H1,Bramston_Beach
201_PL003,Com_Prog
201_PL004,Com_Prog
201_PL007,Com_Prog
201_PL010,Com_Prog
201_PL016,Com_Prog
201_PL018,Com_Prog
201_PL019,Com_Prog
201_PL021,Com_Prog
201_PL022,Com_Prog
201_PL026,Com_Prog
201_PL027,Com_Prog
201_PL028,Com_Prog
201_PL029,Com_Prog
201_PL035,Com_Prog
201_PL037,Com_Prog
201_PL045,Com_Prog
201_PL047,Com_Prog
201_PL051,Com_Prog
201_PL052,Com_Prog
201_PL055,Com_Prog
201_PL056,Com_Prog
201_PL057,Com_Prog
201_PL059,Com_Prog
201_PL061,Com_Prog
201_PL062,Com_Prog
201_PL063,Com_Prog
201_PL066,Com_Prog
201_PL068,Com_Prog
201_PL070,Com_Prog
201_PL075,Com_Prog
201_PL076,Com_Prog
201_PL079,Com_Prog
201_PL081,Com_Prog
201_PL082,Com_Prog
201_PL091,Com_Prog
203_PL001,Com_Prog
203_PL003,Com_Prog
203_PL009,Com_Prog
203_PL016,Com_Prog
203_PL017,Com_Prog
203_PL018,Com_Prog
203_PL041,Com_Prog
203_PL045,Com_Prog
203_PL050,Com_Prog
203_PL052,Com_Prog
203_PL061,Com_Prog
203_PL062,Com_Prog
203_PL065,Com_Prog
203_PL066,Com_Prog
203_PL067,Com_Prog
203_PL071,Com_Prog
203_PL073,Com_Prog
203_PL078,Com_Prog
203_PL082,Com_Prog
203_PL085,Com_Prog
203_PL087,Com_Prog
203_PL093,Com_Prog
207_PL002,Com_Prog
207_PL007,Com_Prog
207_PL008,Com_Prog
207_PL009,Com_Prog
207_PL014,Com_Prog
207_PL015,Com_Prog
207_PL025,Com_Prog
207_PL026,Com_Prog
207_PL031,Com_Prog
207_PL033,Com_Prog
207_PL034,Com_Prog
207_PL036,Com_Prog
207_PL038,Com_Prog
207_PL039,Com_Prog
207_PL040,Com_Prog
207_PL045,Com_Prog
207_PL047,Com_Prog
207_PL048,Com_Prog
207_PL050,Com_Prog
207_PL053,Com_Prog
207_PL054,Com_Prog
207_PL063,Com_Prog
207_PL069,Com_Prog
207_PL071,Com_Prog
207_PL072,Com_Prog
207_PL074,Com_Prog
207_PL079,Com_Prog
207_PL084,Com_Prog
207_PL086,Com_Prog
207_PL088,Com_Prog
207_PL090,Com_Prog
207_PL097,Com_Prog
207_PL100,Com_Prog
207_PL104,Com_Prog
207_PL105,Com_Prog
207_PL117,Com_Prog
207_PL120,Com_Prog
207_PL125,Com_Prog
207_PL127,Com_Prog
207_PL131,Com_Prog
207_PL132,Com_Prog
207_PL133,Com_Prog
207_PL134,Com_Prog
207_PL135,Com_Prog
207_PL136,Com_Prog
207_PL138,Com_Prog
207_PL140,Com_Prog
207_PL144,Com_Prog
207_PL159,Com_Prog
207_PL167,Com_Prog
207_PL169,Com_Prog
207_PL170,Com_Prog
207_PL173,Com_Prog
207_PL175,Com_Prog
207_PL182,Com_Prog
207_PL183,Com_Prog
207_PL184,Com_Prog
207_PL186,Com_Prog
407_PL004,Com_Prog
407_PL011,Com_Prog
407_PL016,Com_Prog
407_PL021,Com_Prog
407_PL034,Com_Prog
407_PL037,Com_Prog
407_PL043,Com_Prog
407_PL045,Com_Prog
407_PL046,Com_Prog
407_PL049,Com_Prog
407_PL052,Com_Prog
407_PL058,Com_Prog
407_PL063,Com_Prog
407_PL069,Com_Prog
407_PL070,Com_Prog
407_PL073,Com_Prog
407_PL101,Com_Prog
407_PL106,Com_Prog
407_PL108,Com_Prog
407_PL111,Com_Prog
407_PL115,Com_Prog
407_PL116,Com_Prog
407_PL118,Com_Prog
407_PL120,Com_Prog
407_PL121,Com_Prog
407_PL122,Com_Prog
407_PL123,Com_Prog
407_PL126,Com_Prog
407_PL129,Com_Prog
407_PL130,Com_Prog
407_PL133,Com_Prog
407_PL135,Com_Prog
407_PL137,Com_Prog
407_PL139,Com_Prog
407_PL141,Com_Prog
407_PL144,Com_Prog
407_PL145,Com_Prog
407_PL146,Com_Prog
407_PL149,Com_Prog
407_PL150,Com_Prog
407_PL157,Com_Prog
407_PL160,Com_Prog
407_PL163,Com_Prog
407_PL165,Com_Prog
407_PL167,Com_Prog
407_PL171,Com_Prog
407_PL172,Com_Prog
407_PL175,Com_Prog
407_PL178,Com_Prog
407_PL179,Com_Prog
407_PL186,Com_Prog
407_PL188,Com_Prog
415_PL001,Com_Prog
415_PL006,Com_Prog
415_PL010,Com_Prog
415_PL011,Com_Prog
415_PL013,Com_Prog
415_PL016,Com_Prog
415_PL017,Com_Prog
415_PL021,Com_Prog
415_PL024,Com_Prog
415_PL025,Com_Prog
415_PL027,Com_Prog
415_PL028,Com_Prog
415_PL030,Com_Prog
415_PL034,Com_Prog
415_PL039,Com_Prog
415_PL045,Com_Prog
415_PL048,Com_Prog
415_PL051,Com_Prog
415_PL052,Com_Prog
415_PL053,Com_Prog
415_PL059,Com_Prog
415_PL063,Com_Prog
415_PL064,Com_Prog
415_PL069,Com_Prog
415_PL070,Com_Prog
415_PL071,Com_Prog
415_PL076,Com_Prog
415_PL081,Com_Prog
415_PL085,Com_Prog
415_PL086,Com_Prog
415_PL088,Com_Prog
415_PL093,Com_Prog
415_PL097,Com_Prog
415_PL101,Com_Prog
415_PL103,Com_Prog
415_PL109,Com_Prog
415_PL114,Com_Prog
415_PL115,Com_Prog
415_PL116,Com_Prog
415_PL117,Com_Prog
415_PL118,Com_Prog
415_PL122,Com_Prog
415_PL124,Com_Prog
415_PL126,Com_Prog
415_PL128,Com_Prog
415_PL130,Com_Prog
415_PL131,Com_Prog
415_PL132,Com_Prog
415_PL142,Com_Prog
415_PL143,Com_Prog
415_PL147,Com_Prog
415_PL150,Com_Prog
415_PL155,Com_Prog
415_PL159,Com_Prog
415_PL160,Com_Prog
415_PL162,Com_Prog
415_PL163,Com_Prog
415_PL164,Com_Prog
415_PL173,Com_Prog
415_PL175,Com_Prog
415_PL177,Com_Prog
415_PL178,Com_Prog
415_PL185,Com_Prog
415_PL187,Com_Prog
B103_2H6,JBG
B97_2G6,JBG
BR006,Com_Bro
BR008,Com_Bro
BR013,Com_Bro
BR014,Com_Bro
BR015,Com_Bro
BR017,Com_Bro
BR019,Com_Bro
BR020,Com_Bro
BR022,Com_Bro
BR023,Com_Bro
BR026,Com_Bro
BR029,Com_Bro
BR030,Com_Bro
BR031,Com_Bro
BR034,Com_Bro
BR036,Com_Bro
BR037,Com_Bro
BR039,Com_Bro
BR041,Com_Bro
BR044,Com_Bro
BR045,Com_Bro
BR047,Com_Bro
BR048,Com_Bro
BR051,Com_Bro
BR056,Com_Bro
BR059,Com_Bro
BR060,Com_Bro
BR061,Com_Bro
BR063,Com_Bro
BR069,Com_Bro
BR072,Com_Bro
BR074,Com_Bro
BR075,Com_Bro
BR076,Com_Bro
BR079,Com_Bro
BR080,Com_Bro
BR084,Com_Bro
BR086,Com_Bro
BR091,Com_Bro
BR093,Com_Bro
BR094,Com_Bro
BR098,Com_Bro
BR102,Com_Bro
BR104,Com_Bro
BR110,Com_Bro
BR112,Com_Bro
BR114,Com_Bro
BR116,Com_Bro
BR117,Com_Bro
BR119,Com_Bro
BR122,Com_Bro
BR132,Com_Bro
BR133,Com_Bro
BR135,Com_Bro
BR136,Com_Bro
BR138,Com_Bro
BR144,Com_Bro
BR147,Com_Bro
BR149,Com_Bro
BR151,Com_Bro
BR152,Com_Bro
BR156,Com_Bro
BR159,Com_Bro
BR161,Com_Bro
BR165,Com_Bro
BR170,Com_Bro
BR175,Com_Bro
BR180,Com_Bro
BR181,Com_Bro
BR182,Com_Bro
BR185,Com_Bro
BR186,Com_Bro
BR187,Com_Bro
BR189,Com_Bro
BR193,Com_Bro
BR195,Com_Bro
BR196,Com_Bro
BR197,Com_Bro
BR202,Com_Bro
BR206,Com_Bro
BR207,Com_Bro
BR208,Com_Bro
BR209,Com_Bro
BR211,Com_Bro
BR214,Com_Bro
BR215,Com_Bro
BR220,Com_Bro
BR222,Com_Bro
BR223,Com_Bro
BR229,Com_Bro
BR234,Com_Bro
BR238,Com_Bro
BR239,Com_Bro
BR241,Com_Bro
BR246,Com_Bro
BR247,Com_Bro
BR248,Com_Bro
BR253,Com_Bro
BR256,Com_Bro
BR257,Com_Bro
BR258,Com_Bro
BR261,Com_Bro
BR262,Com_Bro
BR265,Com_Bro
BR269,Com_Bro
BR270,Com_Bro
BR272,Com_Bro
BR273,Com_Bro
BR276,Com_Bro
BR279,Com_Bro
BR281,Com_Bro
BR282,Com_Bro
BR283,Com_Bro
BR284,Com_Bro
BR289,Com_Bro
BR292,Com_Bro
BR301,Com_Bro
BR302,Com_Bro
BR303,Com_Bro
BR304,Com_Bro
BR306,Com_Bro
BR310,Com_Bro
BR311,Com_Bro
BR312,Com_Bro
BR313,Com_Bro
BR314,Com_Bro
BR315,Com_Bro
BR318,Com_Bro
BR319,Com_Bro
BR323,Com_Bro
BR327,Com_Bro
BR328,Com_Bro
BR330,Com_Bro
BR331,Com_Bro
BR334,Com_Bro
BR337,Com_Bro
BR339,Com_Bro
BR345,Com_Bro
BR346,Com_Bro
BR347,Com_Bro
BR349,Com_Bro
BR351,Com_Bro
BR356,Com_Bro
BR359,Com_Bro
BR363,Com_Bro
BR364,Com_Bro
BR366,Com_Bro
BR367,Com_Bro
BR368,Com_Bro
BR375,Com_Bro
BR380,Com_Bro
BR385,Com_Bro
BR388,Com_Bro
BR392,Com_Bro
BR394,Com_Bro
BR395,Com_Bro
BR399,Com_Bro
BR401,Com_Bro
BR402,Com_Bro
BR404,Com_Bro
BR405,Com_Bro
BR406,Com_Bro
Bramston 11_3F6,Bramston_Beach
Bramston 12_3G6,Bramston_Beach
Bramston 13_2A12,Bramston_Beach
Bramston 14_3H6,Bramston_Beach
Bramston 15_3A7,Bramston_Beach
Bramston 16_3B7,Bramston_Beach
Bramston 17_3C7,Bramston_Beach
Bramston 18_3D7,Bramston_Beach
Bramston 19_3E7,Bramston_Beach
Bramston 21_3F7,Bramston_Beach
Bramston 22_3G7,Bramston_Beach
Bramston 23_2B12,Bramston_Beach
Bramston 24_3H7,Bramston_Beach
Bramston 25_3A8,Bramston_Beach
Bramston 26_3B8,Bramston_Beach
Bramston 27_3C8,Bramston_Beach
Bramston 28_3D8,Bramston_Beach
Bramston 29_3E8,Bramston_Beach
Bramston 3_3A6,Bramston_Beach
Bramston 30_3F8,Bramston_Beach
Bramston 31_3G8,Bramston_Beach
Bramston 32_3H8,Bramston_Beach
Bramston 33_3A9,Bramston_Beach
Bramston 34_2C12,Bramston_Beach
Bramston 35_2D12,Bramston_Beach
Bramston 36_2E12,Bramston_Beach
Bramston 4_3B6,Bramston_Beach
Bramston 40_3B9,Bramston_Beach
Bramston 41_2F12,Bramston_Beach
Bramston 43_3C9,Bramston_Beach
Bramston 45_3D9,Bramston_Beach
Bramston 46_3E9,Bramston_Beach
Bramston 47_3F9,Bramston_Beach
Bramston 48_3G9,Bramston_Beach
Bramston 49_3H9,Bramston_Beach
Bramston 5_3C6,Bramston_Beach
Bramston 50_3A1,Bramston_Beach
Bramston 51_3H5,Bramston_Beach
Bramston 7_3D6,Bramston_Beach
Bramston 8_3E6,Bramston_Beach
Bramston 9_2H11,Bramston_Beach
BRTIWI001,Tiwi
BRTIWI002,Tiwi
BRTIWI006,Tiwi
BRTIWI007,Tiwi
BRTIWI009,Tiwi
BRTIWI011,Tiwi
BRTIWI012,Tiwi
BRTIWI019,Tiwi
BRTIWI023,Tiwi
BRTIWI025,Tiwi
BRTIWI026,Tiwi
BRTIWI027,Tiwi
BRTIWI029,Tiwi
BRTIWI030,Tiwi
BRTIWI034,Tiwi
BRTIWI035,Tiwi
BRTIWI037,Tiwi
BRTIWI038,Tiwi
BRTIWI039,Tiwi
BRTIWI042,Tiwi
BRTIWI043,Tiwi
BRTIWI047,Tiwi
BRTIWI048,Tiwi
BRTIWI057,Tiwi
BRTIWI058,Tiwi
BRTIWI059,Tiwi
BRTIWI065,Tiwi
BRTIWI067,Tiwi
BRTIWI070,Tiwi
BRTIWI071,Tiwi
BRTIWI081,Tiwi
BRTIWI082,Tiwi
BRTIWI085,Tiwi
BRTIWI088,Tiwi
BRTIWI089,Tiwi
BRTIWI090,Tiwi
BRTIWI092,Tiwi
BRTIWI103,Tiwi
BRTIWI104,Tiwi
BRTIWI105,Tiwi
BRTIWI106,Tiwi
BRTIWI108,Tiwi
BRTIWI111,Tiwi
BRTIWI114,Tiwi
BRTIWI116,Tiwi
BRTIWI118,Tiwi
BRTIWI120,Tiwi
BRTIWI124,Tiwi
BRTIWI127,Tiwi
BRTIWI133,Tiwi
BRTIWI137,Tiwi
BRTIWI143,Tiwi
BRTIWI144,Tiwi
BRTIWI145,Tiwi
BRTIWI149,Tiwi
BRTIWI153,Tiwi
Eddit 12_3G1,Etty_Bay
Eddit 13_3H1,Etty_Bay
Eddit 14_3A2,Etty_Bay
Eddit 15_3B2,Etty_Bay
Eddit 16_2F10,Etty_Bay
Eddit 17_3C2,Etty_Bay
Eddit 18_3D2,Etty_Bay
Eddit 19_2G10,Etty_Bay
Eddit 2_3A1,Etty_Bay
Eddit 20_3E2,Etty_Bay
Eddit 21_3F2,Etty_Bay
Eddit 22_3G2,Etty_Bay
Eddit 23_3H2,Etty_Bay
Eddit 24_3A3,Etty_Bay
Eddit 25_3B3,Etty_Bay
Eddit 26_2H10,Etty_Bay
Eddit 27_3C3,Etty_Bay
Eddit 28_2A11,Etty_Bay
Eddit 29_3D3,Etty_Bay
Eddit 3_3B1,Etty_Bay
Eddit 30_3E3,Etty_Bay
Eddit 31_2B11,Etty_Bay
Eddit 32_3F3,Etty_Bay
Eddit 33_2C11,Etty_Bay
Eddit 34_3G3,Etty_Bay
Eddit 35_2D11,Etty_Bay
Eddit 36_3H3,Etty_Bay
Eddit 37_2E11,Etty_Bay
Eddit 38_3A4,Etty_Bay
Eddit 39_3B4,Etty_Bay
Eddit 4_3C1,Etty_Bay
Eddit 40_3C4,Etty_Bay
Eddit 41_2F11,Etty_Bay
Eddit 42_3D4,Etty_Bay
Eddit 43_3E4,Etty_Bay
Eddit 44_3F4,Etty_Bay
Eddit 45_3G4,Etty_Bay
Eddit 5_2E10,Etty_Bay
Eddit 50_3H4,Etty_Bay
Eddit 53_3A5,Etty_Bay
Eddit 54_3B5,Etty_Bay
Eddit 55_3C5,Etty_Bay
Eddit 56_3D5,Etty_Bay
Eddit 57_3E5,Etty_Bay
Eddit 58_3F5,Etty_Bay
Eddit 59_2G11,Etty_Bay
Eddit 6_3D1,Etty_Bay
Eddit 60_3G5,Etty_Bay
Eddit 7_3E1,Etty_Bay
Eddit 9_3F1,Etty_Bay
GOC 1_2A1,GOC
GOC 10_2F1,GOC
GOC 11_2G1,GOC
GOC 12_2H1,GOC
GOC 14_2A2,GOC
GOC 15_2B2,GOC
GOC 16_2C2,GOC
GOC 18_2D2,GOC
GOC 20_2F2,GOC
GOC 24_2G2,GOC
GOC 3_2B1,GOC
GOC 31_2H2,GOC
GOC 36_2A3,GOC
GOC 4_2C1,GOC
GOC 41_2B3,GOC
GOC 5_2D1,GOC
GOC 8_2E1,GOC
GOC S147 4_2F3,GOC
GOC S203 13_2E4,GOC
GOC S348 5_2G3,GOC
GOC S368 1_2C3,GOC
GOC S368 2_2D3,GOC
GOC S376 3_2E3,GOC
GOC S85 10_2C4,GOC
GOC S87 11_2D4,GOC
GOC S90 7_2H3,GOC
GOC S91 9_2B4,GOC
GOC S94 8_2A4,GOC
GOC_s 9_2B6,GOC
GOC_s469_f_2A6,GOC
GOC_s469_m_2H5,GOC
GOC_s475_2G5,GOC
GOC229_2F4,GOC
GOC235_2D5,GOC
GOC237_2F5,GOC
HUB_1501_P18,Inbred
HUB_1501_P20,Inbred
HUB_1501_P28,Inbred
HUB_1501_P5,Inbred
HUB-15-01:004,Inbred
HUB-15-01:049,Inbred
HUB-15-01:063,Inbred
HUB-15-01:089,Inbred
JBG_A5_2C6,JBG
M1,TSV
M10,TSV
M11,TSV
M12,TSV
M13,TSV
M14,TSV
M15,TSV
M16,TSV
M17,TSV
M18,TSV
M19,TSV
M2,TSV
M21,TSV
M22,TSV
M23,TSV
M24,TSV
M3,TSV
M4,TSV
M6,TSV
M7,TSV
M8,TSV
M9,TSV
P15_2C10,JBG
P17_2D10,LBG
P4_2B10,JBG
Pool B1,Pool
Pool B2,Pool
Pool B3,Pool
Pool B4,Pool
Pool B5,Pool
POOLA1,Pool
POOLA2,Pool
POOLA3,Pool
POOLA4,Pool
POOLA5,Pool
W11_2E6,JBG
W14_2F6,JBG
W15_2A7,JBG
W17_2B7,JBG
W19_2C7,JBG
W20_2D7,JBG
W26_2E7,JBG
W29_2F7,JBG
W30_2G7,JBG
W32_2H7,JBG
W37_2A8,JBG
W41_2B8,JBG
W43_2C8,JBG
W45_2D8,JBG
W47_2E8,JBG
W49_2F8,JBG
W50_2G8,JBG
W57_2H8,JBG
W60_2A9,JBG
W63_2B9,JBG
W65_2C9,JBG
W69_2D9,JBG
W7_2D6,JBG
W78_2E9,JBG
W87_2F9,JBG
W88_2G9,JBG
W93_2H9,JBG
Y61_2A10,JBG
